redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
49475,38878,65574,1112,4219,151,591,160000,42.389338464,-71.1572259466
44078,44650,66462,453,3885,210,262,160000,42.3894373299,-71.1571961831
40124,36177,79147,690,3209,235,418,160000,42.3895361959,-71.1571664196
27710,28595,100289,365,2215,224,602,160000,42.38961,-71.1571442
27995,28159,100453,350,2406,188,449,160000,42.3896350619,-71.1571366561
56644,28864,69909,389,3778,182,234,160000,42.3897099385,-71.1571219515
56644,28864,69909,389,3778,182,234,160000,42.389809877,-71.1570997031
41719,32190,80647,1215,3628,276,325,160000,42.3899098155,-71.1570774545
40654,33638,79986,1387,3594,276,465,160000,42.3899433,-71.15707
32600,27471,94984,1114,2894,57,880,160000,42.390009754,-71.157055206
31794,28187,95455,1116,2685,66,697,160000,42.3900429462,-71.1570454651
33715,23619,96719,1708,3438,69,732,160000,42.3900822,-71.1570358
33536,23880,98130,1154,2643,65,592,160000,42.3901425923,-71.1570209302
34048,21739,99247,993,3291,172,510,160000,42.3901833569,-71.157029029
32980,23668,98498,849,3205,189,611,160000,42.3902062,-71.1570275
35255,20046,100936,960,2162,204,437,160000,42.3902845138,-71.157022258
31865,21183,102590,1144,2590,208,420,160000,42.3903023,-71.157035
33779,20172,101867,1111,2463,94,514,160000,42.3903073126,-71.1570353912
35322,22497,97209,1602,2407,352,611,160000,42.3904023739,-71.1570561034
35026,22170,98018,1455,2591,233,507,160000,42.3904071,-71.1570571
33009,24934,98185,396,2902,73,501,160000,42.3904883,-71.1570797
34827,26919,94215,480,2851,89,619,160000,42.3905024479,-71.1570772068
34530,26241,95352,618,2750,117,392,160000,42.3905063061,-71.1570847116
51491,58422,41834,2789,4202,101,1161,160000,42.3905857044,-71.1571172736
38823,77932,37016,2488,2886,95,760,160000,42.3906831089,-71.1571548473
51639,76430,22454,3964,5091,94,328,160000,42.3907805133,-71.1571924211
53340,64652,33647,946,6691,19,705,160000,42.3908779178,-71.1572299949
57473,62044,33262,1149,5423,19,630,160000,42.3908813,-71.1572313
30606,61376,42750,10965,11686,15,2602,160000,42.3909753222,-71.1572675688
36269,60650,40309,10007,10719,9,2037,160000,42.3909783,-71.1572658
32126,60095,42270,10312,12348,12,2837,160000,42.3909792571,-71.1572661404
46050,46197,58688,1130,5863,30,2042,160000,42.3910773277,-71.1572945619
68097,42249,40432,675,6877,35,1635,160000,42.3911763554,-71.1573233239
65069,66680,18665,846,7970,79,691,160000,42.391275383,-71.157352086
31749,78040,43437,553,4493,5,1723,160000,42.3913744107,-71.157380848
11338,64162,80677,609,1946,62,1206,160000,42.3914734384,-71.1574096102
34934,56091,58429,2085,7374,202,885,160000,42.3915724661,-71.1574383723
32008,57359,61001,3851,4078,57,1646,160000,42.3916714938,-71.1574671345
52830,19619,83042,283,2385,98,1743,160000,42.391733,-71.157485
53866,19167,81502,556,2476,82,2351,160000,42.3917705215,-71.1574958968
68550,17926,68425,957,2899,204,1039,160000,42.391831312,-71.1575179577
75118,17305,61435,994,3848,31,1269,160000,42.3919296239,-71.1575509154
